iter	Passed	Remaining
281	4323	11008
282	4338	10992
283	4351	10971
284	4367	10956
285	4381	10938
286	4395	10920
287	4410	10902
288	4425	10887
289	4440	10870
290	4453	10850
291	4467	10833
292	4482	10815
293	4496	10797
294	4509	10776
295	4524	10761
296	4539	10745
297	4552	10725
298	4566	10705
299	4581	10690
300	4598	10678
301	4617	10673
302	4634	10661
303	4649	10644
304	4666	10633
305	4681	10618
306	4699	10609
307	4717	10599
308	4735	10589
309	4750	10574
310	4766	10560
311	4781	10543
312	4797	10530
313	4813	10515
314	4829	10501
315	4845	10488
316	4861	10474
317	4876	10459
318	4892	10444
319	4906	10427
320	4923	10413
321	4939	10400
322	4954	10384
323	4968	10365
324	4983	10349
325	5000	10339
326	5019	10330
327	5035	10317
328	5056	10313
329	5072	10299
330	5086	10279
331	5099	10261
332	5115	10246
333	5129	10228
334	5144	10211
335	5158	10194
336	5173	10177
337	5188	10162
338	5203	10146
339	5222	10138
340	5237	10122
341	5251	10103
342	5265	10085
343	5279	10068
344	5293	10049
345	5308	10033
346	5324	10019
347	5338	10002
348	5352	9984
349	5368	9970
350	5384	9955
351	5399	9939
352	5416	9927
353	5432	9914
354	5447	9898
355	5461	9879
356	5475	9861
357	5490	9845
358	5504	9827
359	5518	9810
360	5531	9791
361	5546	9776
362	5561	9759
363	5575	9741
364	5589	9724
365	5605	9709
366	5618	9691
367	5633	9674
368	5646	9656
369	5661	9639
370	5676	9624
371	5691	9608
372	5705	9590
373	5720	9575
374	5736	9561
375	5751	9544
376	5765	9527
377	5779	9511
378	5796	9498
379	5810	9480
380	5824	9463
381	5838	9445
382	5852	9428
383	5866	9410
384	5880	9392
385	5893	9374
386	5908	9359
387	5923	9343
388	5940	9330
389	5954	9313
390	5971	9300
391	5987	9286
392	6001	9269
393	6016	9253
394	6030	9236
395	6047	9224
396	6063	9209
397	6076	9190
398	6090	9174
399	6105	9158
400	6121	9144
401	6137	9130
402	6151	9112
403	6169	9101
404	6186	9088
